回答ID,回答日時,回答1,回答2,回答3,回答4,回答8,回答9,回答10
60328,2024/12/1 10:32,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
61841,2024/12/3 19:44,法人で利用,10名以上50名未満,建設・不動産,はい,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
60329,2024/12/1 10:32,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
61873,2024/12/3 20:55,法人で利用,10名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
62171,2024/12/4 14:13,法人で利用,50名以上100名未満,製造業 ,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
61394,2024/12/3 9:56,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
62333,2024/12/4 18:29,法人で利用,10名未満,コンサル,いいえ,自分で作成した,自分で運用している,いいえ
61605,2024/12/3 14:07,法人で利用,10名以上50名未満,探偵,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
61607,2024/12/3 14:09,法人で利用,10名以上50名未満,探偵,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
61609,2024/12/3 14:10,法人で利用,10名以上50名未満,個人,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
60040,2024/11/30 18:04,個人で利用,1名,個人,いいえ,自分で作成した,不明,いいえ
60624,2024/12/1 23:11,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
61141,2024/12/2 20:27,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
61531,2024/12/3 12:57,法人で利用,50名以上100名未満,製造業 ,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
62831,2024/12/5 17:35,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
62967,2024/12/6 0:23,個人で利用,10名未満,個人,いいえ,自分で作成した,自分で運用している,いいえ
63020,2024/12/6 9:32,法人で利用,10名未満,広告,はい,委託先に作成を依頼した,自社の運用と委託先の依頼と両方,いいえ
61398,2024/12/3 10:00,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,はい
63364,2024/12/6 22:19,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
61608,2024/12/3 14:10,法人で利用,10名以上50名未満,個人,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
61871,2024/12/3 20:52,法人で利用,10名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
62908,2024/12/5 20:50,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
62297,2024/12/4 17:29,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
63308,2024/12/6 18:21,法人で利用,1名,個人,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
63567,2024/12/7 13:52,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
63128,2024/12/6 13:04,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
63120,2024/12/6 12:49,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
63639,2024/12/7 17:57,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
63650,2024/12/7 17:59,個人で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
63917,2024/12/8 14:32,法人で利用,10名未満,運輸・物流,いいえ,なし,なし,いいえ
60733,2024/12/2 9:59,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
59767,2024/11/29 22:46,法人で利用,10名未満,建設・不動産,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
63691,2024/12/7 20:30,個人で利用,1名,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
60740,2024/12/2 10:03,法人で利用,10名未満,小売・飲食・サービス業,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
63939,2024/12/8 15:28,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
63946,2024/12/8 15:35,個人事業主で利用,10名未満,自営業・フリーランス・その他,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
64539,2024/12/9 18:04,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自社で運用している(担当部署無し),いいえ
64434,2024/12/9 15:58,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
64625,2024/12/9 21:24,法人で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自社で運用している(担当部署無し),いいえ
65108,2024/12/10 22:09,法人で利用,10名未満,小売・飲食・サービス業,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
65655,2024/12/12 8:51,法人で利用,10名未満,IT・通信,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
64136,2024/12/9 3:36,法人で利用,10名未満,国際業務,いいえ,自社内で作成した,自社で運用している(担当部署有り),いいえ
64589,2024/12/9 20:14,個人で利用,1名,個人,はい,クライアントのサイト作成を代行した,自分で運用している,いいえ
64590,2024/12/9 20:14,個人で利用,1名,個人,はい,クライアントのサイト作成を代行した,自分で運用している,いいえ
65711,2024/12/12 10:51,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
65473,2024/12/11 17:34,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
64402,2024/12/9 15:40,個人で利用,1名,個人,いいえ,作成していない,自分で運用している,いいえ
64437,2024/12/9 15:59,個人事業主で利用,1名,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
65681,2024/12/12 9:48,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自分で運用している,いいえ
64400,2024/12/9 15:38,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
64299,2024/12/9 11:59,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
65195,2024/12/11 9:19,法人で利用,10名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
65648,2024/12/12 8:15,個人事業主で利用,1名,個人,はい,自分で作成した,自分で運用している,いいえ
65734,2024/12/12 11:56,法人で利用,10名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
64649,2024/12/9 23:06,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
65300,2024/12/11 11:50,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,はい
65594,2024/12/11 22:52,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自社内で作成した,自社で運用している(担当部署有り),いいえ
65430,2024/12/11 16:09,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自社で運用している(担当部署無し),いいえ
65489,2024/12/11 18:07,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
64127,2024/12/9 1:53,法人で利用,10名未満,貿易,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
64128,2024/12/9 1:53,法人で利用,10名未満,個人,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
64684,2024/12/10 2:16,個人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
64438,2024/12/9 15:59,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
94155,2025/2/16 9:57,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
95568,2025/2/19 13:39,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
93956,2025/2/15 15:09,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
98904,2025/2/26 8:23,法人で利用,10名未満,小売・飲食・サービス業,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
98385,2025/2/25 10:15,法人で利用,10名以上50名未満,IT・通信,はい,自社内で作成した,自社で運用している(担当部署無し),いいえ
97500,2025/2/22 16:52,法人で利用,10名未満,Consulting,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
101129,2025/3/1 20:57,個人で利用,1名,製造業 ,いいえ,作ったデザインをドメインに上げていない,自分で運用している,はい
103518,2025/3/6 19:53,法人で利用,10名未満,IT・通信,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
103701,2025/3/7 10:02,法人で利用,10名未満,医療・福祉,はい,自分で作成した,自社で運用している(担当部署無し),はい
100001,2025/2/27 17:59,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
101435,2025/3/2 16:59,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
106244,2025/3/13 11:54,法人で利用,10名以上50名未満,卸売り,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
104569,2025/3/9 21:36,法人で利用,10名未満,技術コンサルタント,いいえ,自分で作成した,自分で運用している,いいえ
106203,2025/3/13 10:59,法人で利用,10名未満,IT・通信,はい,自分で作成した,自分で運用している,いいえ
104621,2025/3/10 1:02,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
105132,2025/3/10 23:44,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,はい
110480,2025/3/21 16:12,法人で利用,10名以上50名未満,イベント企画運営,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
110633,2025/3/21 21:52,個人で利用,1名,個人,いいえ,これから作成,自分で運用している,いいえ
111212,2025/3/23 19:00,法人で利用,10名未満,IT・通信,いいえ,自分で作成した,自社で運用している(担当部署無し),いいえ
107758,2025/3/17 9:06,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
108286,2025/3/18 2:35,法人で利用,10名未満,医療・福祉,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),はい
112521,2025/3/26 10:56,法人で利用,100名以上,卸売り,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
116088,2025/4/2 12:43,法人で利用,10名未満,IT・通信,はい,自分で作成した,自分で運用している,いいえ
115461,2025/4/1 14:24,個人で利用,1名,個人,はい,自分で作成した,自分で運用している,いいえ
112957,2025/3/27 9:11,法人で利用,10名以上50名未満,小売・飲食・サービス業,いいえ,自分で作成した,委託先に管理を依頼している,いいえ
119872,2025/4/11 23:51,法人で利用,10名未満,コンサルティング,いいえ,自分で作成した,自分で運用している,いいえ
119676,2025/4/11 14:32,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
116582,2025/4/3 12:09,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
120048,2025/4/12 17:29,法人で利用,10名未満,IT・通信,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
119642,2025/4/11 13:29,法人で利用,10名未満,建設・不動産,いいえ,自社内で作成した,自分で運用している,いいえ
117466,2025/4/5 19:14,法人で利用,10名未満,建設・不動産,いいえ,クライアントのサイト作成を代行した,委託先に管理を依頼している,いいえ
119945,2025/4/12 9:34,法人で利用,10名未満,IT・通信,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
123629,2025/4/20 14:32,法人で利用,10名未満,自営業・フリーランス・その他,はい,委託先に作成を依頼した,自分で運用している,いいえ
121055,2025/4/15 9:28,法人で利用,10名以上50名未満,教育・公共サービス,はい,自分で作成した,自分で運用している,いいえ
123001,2025/4/19 11:34,法人で利用,10名未満,建設・不動産,いいえ,自社内で作成した,自社で運用している(担当部署無し),いいえ
120920,2025/4/14 19:45,法人で利用,10名以上50名未満,小売・飲食・サービス業,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
122192,2025/4/17 12:45,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
120254,2025/4/13 10:25,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
128164,2025/4/30 16:28,法人で利用,10名未満,小売・飲食・サービス業,はい,以前の管理会社より引き継ぎ,自分で運用している,いいえ
124480,2025/4/21 22:17,法人で利用,10名未満,小売・飲食・サービス業,いいえ,委託先に作成を依頼した,自社で運用している(担当部署有り),いいえ
129172,2025/5/2 9:24,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
131200,2025/5/7 15:59,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
130066,2025/5/4 3:21,法人で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),はい
134640,2025/5/14 19:38,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
134811,2025/5/15 10:02,個人事業主で利用,1名,教育・公共サービス,いいえ,自分で作成した,自分で運用している,いいえ
135804,2025/5/17 15:44,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
139305,2025/5/24 14:09,個人事業主で利用,1名,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
138881,2025/5/23 10:09,個人事業主で利用,10名未満,弁理士,いいえ,自分で作成した,自分で運用している,いいえ
139110,2025/5/23 18:00,個人事業主で利用,10名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,はい
144151,2025/6/5 11:19,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
145415,2025/6/9 16:44,個人で利用,10名未満,個人,いいえ,クライアントのサイト作成を代行した,自分で運用している,いいえ
141197,2025/5/29 13:12,法人で利用,10名以上50名未満,小売・飲食・サービス業,はい,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
144605,2025/6/6 17:31,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
145638,2025/6/10 10:49,個人で利用,10名未満,個人,いいえ,自分で作成した,自分で運用している,いいえ
144445,2025/6/6 11:15,法人で利用,10名未満,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
146045,2025/6/11 11:24,法人で利用,10名未満,運輸・物流,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
144554,2025/6/6 15:12,任意団体,50名以上100名未満,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
150470,2025/6/23 10:47,法人で利用,10名未満,小売・飲食・サービス業,はい,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
149146,2025/6/20 2:24,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,いいえ
148189,2025/6/17 16:32,個人事業主で利用,1名,自営業・フリーランス・その他,いいえ,委託先に作成を依頼した,自社で運用している(担当部署無し),いいえ
150948,2025/6/24 11:33,個人事業主で利用,1名,自営業・フリーランス・その他,はい,自分で作成した,自分で運用している,いいえ
158429,2025/7/15 16:45,個人で利用,1名,個人,いいえ,委託先に作成を依頼した,自分で運用している,いいえ
154740,2025/7/3 21:45,法人で利用,10名未満,製造業 ,いいえ,自分で作成した,自分で運用している,いいえ
159489,2025/7/18 17:57,法人で利用,10名未満,建設・不動産,いいえ,自分で作成した,自分で運用している,いいえ
158228,2025/7/15 7:59,法人で利用,10名未満,小売・飲食・サービス業,いいえ,自分で作成した,自分で運用している,はい
154831,2025/7/4 9:59,法人で利用,10名以上50名未満,IT・通信,いいえ,委託先に作成を依頼した,委託先に管理を依頼している,いいえ
153319,2025/7/1 0:19,個人事業主で利用,10名未満,建設・不動産,いいえ,自分で作成した,自社で運用している(担当部署無し),いいえ
152646,2025/6/29 15:33,個人で利用,10名未満,自営業・フリーランス・その他,いいえ,自分で作成した,自分で運用している,いいえ
156345,2025/7/9 8:58,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
152218,2025/6/27 19:07,個人で利用,1名,個人,いいえ,自分で作成した,自分で運用している,いいえ
